name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Cursed,PG-13,Comedy,2005,"February 25, 2005 (United States)",5.0,31000.0,Wes Craven,Kevin Williamson,Christina Ricci,Germany,38000000.0,29621722.0,Dimension Films,97.0
The Sitter,R,Comedy,2011,"December 9, 2011 (United States)",5.7,69000.0,David Gordon Green,Brian Gatewood,Jonah Hill,United States,25000000.0,34942188.0,Twentieth Century Fox,81.0
Rockstar,Not Rated,Drama,2011,"November 11, 2011 (United States)",7.7,41000.0,Imtiaz Ali,Imtiaz Ali,Ranbir Kapoor,India,10920000.0,11219667.0,Eros Worldwide,159.0
The Million Dollar Hotel,R,Drama,2000,"February 10, 2000 (Germany)",5.9,21000.0,Wim Wenders,Nicholas Klein,Jeremy Davies,Germany,8000000.0,105983.0,Icon Entertainment International,122.0
Wild,R,Adventure,2014,"December 19, 2014 (United States)",7.1,123000.0,Jean-Marc Vallée,Nick Hornby,Reese Witherspoon,United States,15000000.0,52501541.0,Bob Industries,115.0
Anna,PG-13,Drama,1987,"November 28, 1987 (United States)",6.5,639.0,Yurek Bogayevicz,Yurek Bogayevicz,Sally Kirkland,United States,,1236848.0,Magnus Films,100.0
Boy Erased,R,Biography,2018,"November 8, 2018 (Australia)",6.9,35000.0,Joel Edgerton,Garrard Conley,Lucas Hedges,Australia,11000000.0,11853081.0,Focus Features,115.0
Show Me Love,Not Rated,Comedy,1998,"October 23, 1998 (Sweden)",7.5,50000.0,Lukas Moodysson,Lukas Moodysson,Alexandra Dahlström,Sweden,,219331.0,Memfis Film,89.0
The Indian in the Cupboard,PG,Drama,1995,"July 14, 1995 (United States)",6.0,27000.0,Frank Oz,Lynne Reid Banks,Hal Scardino,United States,45000000.0,35656131.0,Columbia Pictures,96.0
Superstar,PG-13,Comedy,1999,"October 8, 1999 (United States)",5.1,18000.0,Bruce McCulloch,Molly Shannon,Molly Shannon,United States,34000000.0,30636478.0,Broadway Pictures,81.0
Jumanji: The Next Level,PG-13,Action,2019,"December 13, 2019 (United States)",6.6,204000.0,Jake Kasdan,Jake Kasdan,Dwayne Johnson,United States,125000000.0,800059707.0,Columbia Pictures,123.0
